2022-03-21 10:24:19.489642: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2022-03-21 10:24:19.523850: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1618] Found device 0 with properties: 
name: Quadro RTX 4000 major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:21:00.0
2022-03-21 10:24:19.523987: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524039: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524083: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524129: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524176: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524277: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524405: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory
2022-03-21 10:24:19.524418: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1641] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2022-03-21 10:24:19.524897: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2022-03-21 10:24:19.541295: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2350000000 Hz
2022-03-21 10:24:19.549642: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56496350a000 executing computations on platform Host. Devices:
2022-03-21 10:24:19.549703: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Host, Default Version
2022-03-21 10:24:19.714415: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56496356d830 executing computations on platform CUDA. Devices:
2022-03-21 10:24:19.714486: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Quadro RTX 4000, Compute Capability 7.5
2022-03-21 10:24:19.714694: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1159] Device interconnect StreamExecutor with strength 1 edge matrix:
2022-03-21 10:24:19.714707: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1165]      
---------------------------------------------------------------
Program developed by Vinicius L S Silva (vs1819) - 14.04.2021
---------------------------------------------------------------
weight_pod:  tf.Tensor(
[5.56196868e-01 2.03024685e-01 8.77208859e-02 4.96064164e-02
 4.05909568e-02 1.79590061e-02 1.43773295e-02 1.33153498e-02
 4.74109687e-03 3.75490240e-03 3.47938458e-03 2.55672471e-03
 1.36965106e-03 9.87468055e-04 3.19285289e-04], shape=(15,), dtype=float32)

weight_R0_p:  tf.Tensor([0.005 0.005], shape=(2,), dtype=float32)

weight_R0_da:  tf.Tensor([5.e-05 5.e-05], shape=(2,), dtype=float32)

weight_obs tf.Tensor(0.00027777778, shape=(), dtype=float32)

weight_reg tf.Tensor(1e-04, shape=(), dtype=float32)


Iteration 0: forward and backward
Weight_R0:  0.005
-- Forward March --
Initial point losses: 
0:  ['2.15e-02', '4.72e-04', '2.10e-02', '2.52e-06', '6.02e-05']
1:  ['2.12e-02', '4.56e-04', '2.07e-02', '2.77e-06', '5.30e-05']
2:  ['2.11e-02', '5.05e-04', '2.06e-02', '4.05e-06', '1.00e-04']
3:  ['2.15e-02', '4.71e-04', '2.10e-02', '2.48e-06', '5.95e-05']
4:  ['2.11e-02', '4.66e-04', '2.07e-02', '3.31e-06', '6.03e-05']
5:  ['2.10e-02', '4.60e-04', '2.06e-02', '3.11e-06', '5.55e-05']
6:  ['2.17e-02', '4.96e-04', '2.12e-02', '2.57e-06', '8.48e-05']
7:  ['2.11e-02', '4.57e-04', '2.06e-02', '3.12e-06', '5.42e-05']
8:  ['2.17e-02', '5.05e-04', '2.12e-02', '2.66e-06', '9.50e-05']
9:  ['2.15e-02', '4.70e-04', '2.10e-02', '2.45e-06', '5.91e-05']
10:  ['2.19e-02', '5.09e-04', '2.14e-02', '2.86e-06', '8.40e-05']
11:  ['3.30e-03', '2.31e-04', '3.06e-03', '5.51e-06', '1.04e-04']
12:  ['3.16e-03', '2.29e-04', '2.93e-03', '5.33e-06', '1.39e-04']
13:  ['2.14e-02', '4.48e-04', '2.10e-02', '3.07e-06', '4.82e-05']
14:  ['1.51e-02', '4.49e-04', '1.46e-02', '2.88e-06', '3.62e-05']
15:  ['2.14e-02', '4.54e-04', '2.09e-02', '4.23e-06', '4.45e-05']
16:  ['3.38e-03', '2.31e-04', '3.14e-03', '5.17e-06', '9.28e-05']
17:  ['2.28e-02', '5.58e-04', '2.23e-02', '3.22e-06', '1.28e-04']
18:  ['3.50e-03', '2.36e-04', '3.26e-03', '4.56e-06', '9.45e-05']
19:  ['3.46e-03', '2.44e-04', '3.21e-03', '5.04e-06', '9.34e-05']
20:  ['2.16e-02', '4.32e-04', '2.10e-02', '1.26e-04', '3.94e-06']
21:  ['4.64e-03', '3.10e-04', '4.22e-03', '1.06e-04', '2.78e-04']
22:  ['4.31e-03', '2.54e-04', '3.93e-03', '1.19e-04', '2.13e-04']
23:  ['9.07e-02', '3.49e-03', '8.71e-02', '1.09e-04', '9.51e-04']
24:  ['7.57e-02', '5.78e-04', '7.50e-02', '1.06e-04', '1.07e-04']
25:  ['2.85e-02', '6.56e-04', '2.78e-02', '1.06e-04', '5.10e-04']
26:  ['4.77e-03', '2.41e-04', '4.40e-03', '1.37e-04', '1.58e-04']
27:  ['2.51e-02', '1.81e-04', '2.49e-02', '9.80e-05', '5.40e-05']
28:  ['4.33e-03', '2.52e-04', '3.98e-03', '1.00e-04', '3.92e-04']
29: * ['2.37e-03', '3.80e-04', '1.90e-03', '9.37e-05', '2.51e-04']

Loss iteration 0: ['2.37e-03', '3.80e-04', '1.90e-03', '9.37e-05', '2.51e-04']
Loss iteration 1: ['1.91e-03', '2.46e-04', '1.57e-03', '9.59e-05', '0.00e+00'] - 6s
Loss iteration 2: ['1.76e-03', '3.27e-04', '1.34e-03', '9.87e-05', '0.00e+00'] - 6s
Loss iteration 3: ['1.77e-03', '2.97e-04', '1.37e-03', '9.97e-05', '0.00e+00'] - 6s
Loss iteration 4: ['1.58e-03', '2.11e-04', '1.26e-03', '1.02e-04', '0.00e+00'] - 6s
Loss iteration 5: ['1.81e-03', '4.22e-04', '1.28e-03', '1.04e-04', '0.00e+00'] - 6s
Loss iteration 6: ['1.53e-03', '2.68e-04', '1.15e-03', '1.08e-04', '0.00e+00'] - 6s
Loss iteration 7: ['1.44e-03', '2.37e-04', '1.09e-03', '1.10e-04', '0.00e+00'] - 6s
Loss iteration 8: ['1.35e-03', '2.91e-04', '9.44e-04', '1.15e-04', '0.00e+00'] - 6s
Loss iteration 9: ['1.34e-03', '2.66e-04', '9.51e-04', '1.18e-04', '0.00e+00'] - 6s
Loss iteration 10: ['1.54e-03', '3.33e-04', '1.08e-03', '1.18e-04', '0.00e+00'] - 1s
Loss iteration 11: ['1.47e-03', '3.56e-04', '9.87e-04', '1.23e-04', '0.00e+00'] - 6s
Loss iteration 12: ['1.34e-03', '3.57e-04', '8.56e-04', '1.30e-04', '0.00e+00'] - 6s
Loss iteration 13: ['1.34e-03', '4.49e-04', '7.52e-04', '1.37e-04', '0.00e+00'] - 6s
Loss iteration 14: ['1.09e-03', '1.83e-04', '7.66e-04', '1.42e-04', '2.24e-03'] - 6s
Loss iteration 15: ['7.14e-04', '3.37e-04', '2.30e-04', '1.46e-04', '1.19e-03'] - 6s
Loss iteration 16: ['1.32e-03', '4.09e-04', '7.63e-04', '1.51e-04', '4.81e-04'] - 6s
Loss iteration 17: ['4.53e-04', '2.47e-04', '4.98e-05', '1.56e-04', '1.69e-03'] - 6s
Loss iteration 18: ['5.83e-04', '4.08e-04', '1.66e-05', '1.58e-04', '1.81e-03'] - 6s
Loss iteration 19: ['6.28e-04', '4.61e-04', '9.34e-06', '1.58e-04', '6.99e-04'] - 2s
Loss iteration 20: ['4.68e-04', '2.95e-04', '1.61e-05', '1.57e-04', '5.32e-04'] - 4s
Loss iteration 21: ['6.07e-04', '4.41e-04', '1.02e-05', '1.56e-04', '1.22e-03'] - 2s
Loss iteration 22: ['6.93e-04', '5.31e-04', '6.37e-06', '1.55e-04', '3.26e-04'] - 2s
Loss iteration 23: ['6.75e-04', '4.97e-04', '2.20e-05', '1.56e-04', '0.00e+00'] - 1s
Loss iteration 24: ['5.50e-04', '3.54e-04', '4.13e-05', '1.55e-04', '0.00e+00'] - 2s
Loss iteration 25: ['5.63e-04', '3.63e-04', '4.56e-05', '1.54e-04', '0.00e+00'] - 6s
Loss iteration 26: ['7.38e-04', '5.25e-04', '5.83e-05', '1.55e-04', '0.00e+00'] - 2s
Loss iteration 27: ['6.75e-04', '4.85e-04', '3.41e-05', '1.56e-04', '0.00e+00'] - 6s
Loss iteration 28: ['5.73e-04', '4.10e-04', '6.66e-06', '1.56e-04', '0.00e+00'] - 6s
Loss iteration 29: ['6.70e-04', '5.05e-04', '8.68e-06', '1.56e-04', '0.00e+00'] - 2s
Loss iteration 30: ['8.70e-04', '7.07e-04', '8.33e-06', '1.55e-04', '0.00e+00'] - 3s
Loss iteration 31: ['7.95e-04', '6.17e-04', '2.32e-05', '1.55e-04', '0.00e+00'] - 2s
Loss iteration 32: ['7.38e-04', '5.70e-04', '1.35e-05', '1.55e-04', '0.00e+00'] - 3s
Loss iteration 33: ['7.34e-04', '5.53e-04', '2.60e-05', '1.55e-04', '0.00e+00'] - 3s
Loss iteration 34: ['8.17e-04', '6.57e-04', '6.00e-06', '1.54e-04', '0.00e+00'] - 6s
Loss iteration 35: ['6.67e-04', '4.88e-04', '2.48e-05', '1.53e-04', '7.39e-03'] - 6s
Loss iteration 36: ['7.95e-04', '6.25e-04', '1.77e-05', '1.53e-04', '5.60e-03'] - 3s
Loss iteration 37: ['7.85e-04', '5.98e-04', '3.27e-05', '1.54e-04', '3.84e-03'] - 6s
Loss iteration 38: ['8.14e-04', '6.43e-04', '1.60e-05', '1.55e-04', '2.81e-03'] - 6s
Loss iteration 39: ['5.65e-04', '4.06e-04', '4.72e-06', '1.54e-04', '6.45e-03'] - 6s
Loss iteration 40: ['7.31e-04', '5.72e-04', '4.47e-06', '1.54e-04', '4.49e-03'] - 1s
Loss iteration 41: ['1.12e-03', '9.67e-04', '3.02e-06', '1.54e-04', '4.56e-03'] - 1s
Loss iteration 42: ['8.38e-04', '6.79e-04', '5.53e-06', '1.54e-04', '3.69e-03'] - 3s
Loss iteration 43: ['8.69e-04', '7.10e-04', '5.51e-06', '1.53e-04', '1.00e-03'] - 2s
Loss iteration 44: ['1.05e-03', '8.90e-04', '4.22e-06', '1.54e-04', '0.00e+00'] - 2s
Loss iteration 45: ['9.93e-04', '8.37e-04', '3.36e-06', '1.52e-04', '0.00e+00'] - 6s
Loss iteration 46: ['7.46e-04', '5.83e-04', '1.20e-05', '1.51e-04', '0.00e+00'] - 6s
Loss iteration 47: ['1.17e-03', '1.00e-03', '1.25e-05', '1.51e-04', '0.00e+00'] - 3s
Loss iteration 48: ['9.75e-04', '8.02e-04', '2.13e-05', '1.52e-04', '0.00e+00'] - 6s
Loss iteration 49: ['1.10e-03', '9.35e-04', '1.33e-05', '1.53e-04', '0.00e+00'] - 6s
Loss iteration 50: ['6.75e-04', '5.17e-04', '3.78e-06', '1.54e-04', '0.00e+00'] - 6s
Loss iteration 51: ['7.57e-04', '5.99e-04', '5.66e-06', '1.53e-04', '0.00e+00'] - 2s
Loss iteration 52: ['1.21e-03', '1.05e-03', '3.39e-06', '1.53e-04', '0.00e+00'] - 2s
Loss iteration 53: ['7.61e-04', '6.02e-04', '6.48e-06', '1.53e-04', '0.00e+00'] - 2s
Loss iteration 54: ['1.10e-03', '9.36e-04', '9.31e-06', '1.51e-04', '0.00e+00'] - 6s
